incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
107468287,2009-00009784,05/25/2009 11:45:00 PM,PC 459 BURGLARY/BREAKING AND ENTERING,PC 459 BURGLARY/BREAKING AND ENTERING,,6700 Block SCHMIDT LN,,EL CERRITO,CA,94530,,37.9154732,-122.3071947,04/17/2012 09:42:23 PM,10/29/2015 10:33:46 AM,POINT (-122.3071947 37.9154732),23,Monday,Breaking & Entering
107467468,2009-00017553,09/17/2009 07:00:00 PM,PC 215 CARJACKING,PC 215 CARJACKING,,CUTTING BLVD & BART PATH,,EL CERRITO,CA,,,37.925892151,-122.317443863,04/17/2012 09:42:02 PM,04/17/2015 07:16:14 AM,POINT (-122.317443863 37.925892151),19,Thursday,Robbery
107466426,2010-00002184,01/30/2010 07:01:00 PM,PC 12031 (a) CARRY CONCEALED/LOADED FIREARM: NOT REG/OWN,PC 12031 (a) CARRY CONCEALED/LOADED FIREARM: NOT REG/OWN,,11300 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.921431408155,-122.315568944197,04/17/2012 09:41:41 PM,09/17/2015 10:35:36 AM,POINT (-122.315568944197 37.921431408155),19,Saturday,Weapons Offense
107466057,2010-00003517,02/16/2010 08:41:00 AM,HS 11377 FEL - POSS CONTROLLED SUBSTANCE,HS 11377 FEL - POSS CONTROLLED SUBSTANCE,,PORTOLA DR & BART PATH,,EL CERRITO,CA,,,37.9134,-122.308,04/17/2012 09:41:36 PM,09/16/2015 10:34:29 AM,POINT (-122.308 37.9134),8,Tuesday,Drugs
107464734,2010-00016844,08/24/2010 10:06:00 PM,PC 496 RECEIVE/ETC STOLEN PROP -$400,PC 496 RECEIVE/ETC STOLEN PROP -$400,,CARLSON BLVD & HUNTINGTON AVE,,RICHMOND,CA,,,37.9077406270001,-122.308556426,04/17/2012 09:41:08 PM,08/02/2016 07:13:32 AM,POINT (-122.308556426 37.9077406270001),22,Tuesday,Theft
107464182,2010-00022540,11/18/2010 05:59:00 AM,VC 20001 A HIT AND RUN:DEATH/INJURY,VC 20001 A HIT AND RUN:DEATH/INJURY,,POTRERO AVE & S 56TH ST,,EL CERRITO,CA,,,37.9208,-122.317,04/17/2012 09:40:52 PM,05/26/2015 07:20:37 AM,POINT (-122.317 37.9208),5,Thursday,Traffic
107463272,2011-00005093,03/17/2011 09:43:00 PM,HS 11550 UNDER INFLUENCE CNTL SUB,HS 11550 UNDER INFLUENCE CNTL SUB,,7000 Block STOCKTON AVE,,EL CERRITO,CA,,,37.9102887679087,-122.299958585315,04/17/2012 09:40:34 PM,01/02/2015 08:12:33 AM,POINT (-122.299958585315 37.9102887679087),21,Thursday,Drugs
107463234,2011-00006897,04/15/2011 10:30:00 AM,PC 459 BURGLARY/BREAKING AND ENTERING,PC 459 BURGLARY/BREAKING AND ENTERING,,1200 Block KING DR,,EL CERRITO,CA,,,37.9206415240815,-122.295598170624,04/17/2012 09:40:28 PM,10/20/2015 10:40:27 AM,POINT (-122.295598170624 37.9206415240815),10,Friday,Breaking & Entering
107462646,2011-00012060,07/13/2011 10:41:00 AM,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,,2000 Block KEY BLVD,,EL CERRITO,CA,,,37.9285463599087,-122.319022666867,04/17/2012 09:40:20 PM,01/14/2015 08:12:38 AM,POINT (-122.319022666867 37.9285463599087),10,Wednesday,Vehicle Recovery
565083014,2014-00018448,08/01/2011 12:00:00 AM,PC 243 E1 BAT:SPOUSE/EX SP/DATE/ETC,PC 243 E1 BAT:SPOUSE/EX SP/DATE/ETC,,5600 Block EL DORADO ST,,EL CERRITO,CA,,,37.9019,-122.309,09/27/2014 07:12:17 AM,05/13/2015 07:17:45 AM,POINT (-122.309 37.9019),0,Monday,Assault
